year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2013,BOS,156522142.00,5797116.00,4250000.00,97,1613630.33,yes
2013,CHC,103456533.00,3831723.00,1750000.00,66,1567523.23,no
2013,CHW,117040777.00,5088729.00,2800000.00,63,1857790.11,no
2013,CIN,90025772.00,3914164.00,3060000.00,90,1000286.36,no
2013,CLE,69274900.00,2770996.00,1000000.00,92,752988.04,no
2013,COL,64278071.00,2921731.00,1250000.00,74,868622.58,no
2013,DET,151420000.00,6583478.00,4000000.00,93,1628172.04,no
2013,HOU,18825200.00,896438.00,496600.00,51,369121.57,no
2013,KCR,74821300.00,3400968.00,1190000.00,86,870015.12,no
2013,LAA,127896250.00,4736898.00,3500000.00,78,1639695.51,no
2013,LAD,171050552.00,7127106.00,4980750.00,92,1859245.13,no
2013,MIA,35857000.00,1434280.00,625000.00,62,578338.71,no
2013,MIL,70893444.00,2953894.00,1150000.00,74,958019.51,no
2013,MIN,69780000.00,3489000.00,597500.00,66,1057272.73,no
2013,NYM,68347948.00,2847831.00,625000.00,74,923620.92,no
2013,NYY,182832190.00,7032007.00,2975000.00,85,2150966.94,no
2013,OAK,39199500.00,1781795.00,605000.00,96,408328.13,no
2013,PHI,144895714.00,5795829.00,1350000.00,73,1984872.79,no
2013,PIT,77554000.00,2982846.00,1437500.00,94,825042.55,no
2013,SDP,62305200.00,2307600.00,1125000.00,76,819805.26,no
2013,SEA,60296043.00,3173476.00,1500000.00,76,793368.99,no
2013,SFG,112092501.00,4873587.00,1800000.00,71,1578767.62,no
2013,STL,93552086.00,4454861.00,1750000.00,97,964454.49,no
2013,TBR,51903072.00,2162628.00,1750000.00,92,564163.83,no
2013,TEX,110917100.00,4621546.00,2825000.00,91,1218869.23,no
2013,TOR,113044500.00,4186833.00,2750000.00,74,1527628.38,no
2013,WAS,111356769.00,4639865.00,3150000.00,86,1294846.15,no
2012,ARI,70098833.00,2696109.00,1625000.00,81,865417.69,no
2012,ATL,75874942.00,2709819.00,550000.00,94,807180.23,no
2012,BAL,74012333.00,2643298.00,1275000.00,93,795831.54,no
2012,BOS,158129617.00,4941551.00,1556250.00,69,2291733.58,no
2012,CHC,88677033.00,3284335.00,1150000.00,61,1453721.85,no
2012,CHW,96439500.00,4018313.00,1265000.00,85,1134582.35,no
2012,CIN,74036950.00,2742109.00,1000000.00,97,763267.53,no
2012,CLE,73880300.00,2638582.00,652450.00,68,1086475.00,no
2012,COL,78069571.00,2692054.00,482000.00,64,1219837.05,no
2012,DET,138800000.00,4626667.00,1600000.00,88,1577272.73,no
2012,HOU,60651000.00,2332731.00,491250.00,55,1102745.45,no
2012,KCR,57406225.00,1979525.00,865000.00,72,797308.68,no
2012,LAA,153990166.00,5499649.00,3350000.00,89,1730226.58,no
2012,LAD,110300717.00,3558088.00,850000.00,86,1282566.48,no
2012,MIA,118078000.00,4373259.00,1500000.00,69,1711275.36,no
2012,MIL,91903944.00,3676158.00,1962500.00,83,1107276.43,no
2012,MIN,92535000.00,3559038.00,637500.00,66,1402045.45,no
2012,NYM,92834433.00,3570555.00,937500.00,74,1254519.36,no
2012,NYY,167000289.00,5758631.00,2000000.00,95,1757897.78,no
2012,OAK,49372500.00,1702500.00,485000.00,94,525239.36,no
2012,PHI,154538938.00,5328929.00,1250000.00,81,1907888.12,no
2012,PIT,62950999.00,2248250.00,1008333.00,79,796848.09,no
2012,SDP,54578033.00,2021409.00,1250000.00,76,718132.01,no
2012,SEA,80478100.00,2980670.00,495100.00,94,856150.00,no
2012,SFG,101771350.00,3634691.00,1275000.00,75,1356951.33,yes
2012,STL,101350862.00,3898110.00,629000.00,88,1151714.34,no
2012,TBR,64173500.00,2291911.00,1425000.00,90,713038.89,no
2012,TEX,94860974.00,3952541.00,3100000.00,93,1020010.47,no
2012,TOR,92489200.00,3082973.00,2138750.00,73,1266975.34,no
2012,WAS,70378428.00,2345948.00,775000.00,98,718147.22,no
2011,ARI,70098833.00,2696109.00,1625000.00,94,745732.27,no
2011,ATL,75874942.00,2709819.00,550000.00,89,852527.44,no
2011,BAL,74012333.00,2643298.00,1275000.00,69,1072642.51,no
2011,BOS,158129617.00,4941551.00,1556250.00,90,1756995.74,no
2011,CHC,88677033.00,3284335.00,1150000.00,71,1248972.30,no
2011,CHW,96439500.00,4018313.00,1265000.00,79,1220753.16,no
2011,CIN,74036950.00,2742109.00,1000000.00,79,937176.58,no
2011,CLE,73880300.00,2638582.00,652450.00,80,923503.75,no
2011,COL,78069571.00,2692054.00,482000.00,73,1069446.18,no
2011,DET,138800000.00,4626667.00,1600000.00,95,1461052.63,no
2011,HOU,60651000.00,2332731.00,491250.00,56,1083053.57,no
2011,KCR,57406225.00,1979525.00,865000.00,71,808538.38,no
2011,LAA,153990166.00,5499649.00,3350000.00,86,1790583.33,no
2011,LAD,110300717.00,3558088.00,850000.00,82,1345130.70,no
2011,MIA,118078000.00,4373259.00,1500000.00,72,1639972.22,no
2011,MIL,91903944.00,3676158.00,1962500.00,96,957332.75,no
2011,MIN,92535000.00,3559038.00,637500.00,63,1468809.52,no
2011,NYM,92834433.00,3570555.00,937500.00,77,1205641.99,no
2011,NYY,167000289.00,5758631.00,2000000.00,97,1721652.46,no
2011,OAK,49372500.00,1702500.00,485000.00,74,667195.95,no
2011,PHI,154538938.00,5328929.00,1250000.00,102,1515087.63,no
2011,PIT,62950999.00,2248250.00,1008333.00,72,874319.43,no
2011,SDP,54578033.00,2021409.00,1250000.00,71,768704.69,no
2011,SEA,80478100.00,2980670.00,495100.00,86,935791.86,no
2011,SFG,101771350.00,3634691.00,1275000.00,67,1518975.37,no
2011,STL,101350862.00,3898110.00,629000.00,90,1126120.69,yes
2011,TBR,64173500.00,2291911.00,1425000.00,91,705203.30,no
2011,TEX,94860974.00,3952541.00,3100000.00,96,988135.15,no
2011,TOR,92489200.00,3082973.00,2138750.00,81,1141841.98,no
2011,WAS,70378428.00,2345948.00,775000.00,80,879730.35,no
2010,ARI,60718166.00,2335314.00,1416667.00,65,934125.63,no
2010,ATL,84423666.00,3126802.00,1150000.00,91,927732.59,no
2010,BAL,81612500.00,3138942.00,1325000.00,66,1236553.03,no
2010,BOS,149447333.00,5337405.00,3625000.00,89,1679183.52,no
2010,CHC,146609000.00,5429963.00,2125000.00,75,1954786.67,no
2010,CHW,105530000.00,4058846.00,2500000.00,88,1199204.55,no
2010,CIN,60136542.00,2405462.00,445000.00,91,660841.12,no
2010,CLE,60759366.00,2169977.00,427250.00,69,880570.52,no
2010,COL,84227000.00,2904379.00,1300000.00,83,1014783.13,no
2010,DET,122864928.00,4550553.00,1500000.00,81,1516850.96,no
2010,HOU,92355500.00,3298411.00,1325000.00,76,1215203.95,no
2010,KCR,69645210.00,2678662.00,1675000.00,67,1039480.75,no
2010,LAA,104963866.00,3619444.00,2050000.00,80,1312048.33,no
2010,LAD,89608016.00,3446462.00,975000.00,80,1120100.20,no
2010,MIA,57029719.00,2112212.00,550000.00,80,712871.49,no
2010,MIL,80658278.00,2880653.00,1593750.00,77,1047510.10,no
2010,MIN,97559166.00,3484256.00,1800000.00,94,1037863.47,no
2010,NYM,134020942.00,4963739.00,1500000.00,79,1696467.62,no
2010,NYY,173333389.00,7222225.00,4750000.00,95,1824561.99,no
2010,OAK,46244900.00,1594652.00,420000.00,81,570924.69,no
2010,PHI,122928379.00,4552903.00,2500000.00,97,1267302.88,no
2010,PIT,34943000.00,1294185.00,452000.00,57,613035.09,no
2010,SDP,38507633.00,1426209.00,423700.00,90,427862.59,no
2010,SEA,86510000.00,3089643.00,1118750.00,92,940326.09,no
2010,SFG,94058000.00,3483630.00,820000.00,61,1541934.43,yes
2010,STL,88817251.00,3861620.00,1000000.00,86,1032758.73,no
2010,TBR,71923471.00,2663832.00,1800000.00,96,749202.82,no
2010,TEX,52000544.00,1857162.00,475000.00,90,577783.82,no
2010,TOR,62234000.00,2074467.00,825000.00,85,732164.71,no
2010,WAS,61400000.00,2046667.00,725000.00,69,889855.07,no
2009,ARI,73086666.00,2811026.00,1725000.00,70,1044095.23,no
2009,ATL,96726166.00,3335385.00,1237500.00,86,1124722.86,no
2009,BAL,67101666.00,2580833.00,1500000.00,64,1048463.53,no
2009,BOS,108745999.00,3749862.00,1500000.00,95,1144694.73,no
2009,CHC,134809000.00,5392360.00,2200000.00,83,1624204.82,no
2009,CHW,95628500.00,3825140.00,1225000.00,79,1210487.34,no
2009,CIN,63433500.00,2883341.00,970000.00,78,813250.00,no
2009,CLE,80743866.00,3229755.00,2500000.00,65,1242213.32,no
2009,COL,75201000.00,2785222.00,800000.00,92,817402.17,no
2009,DET,115085145.00,4110184.00,2237500.00,86,1338199.36,no
2009,HOU,102996414.00,3814682.00,1550000.00,74,1391843.43,no
2009,KCR,70519333.00,2712282.00,1600000.00,65,1084912.82,no
2009,LAA,113709000.00,4061036.00,1800000.00,97,1172257.73,no
2009,LAD,97314592.00,4054775.00,1125000.00,95,1024364.13,no
2009,MIA,36834000.00,1315500.00,470000.00,87,423379.31,no
2009,MIL,79768502.00,3190740.00,1662500.00,80,997106.28,no
2009,MIN,64869266.00,2316760.00,637500.00,87,745623.75,no
2009,NYM,149373987.00,5334785.00,2612500.00,70,2133914.10,no
2009,NYY,168449189.00,6737968.00,5000000.00,103,1635429.02,yes
2009,OAK,61910000.00,2292963.00,410000.00,75,825466.67,no
2009,PHI,98004046.00,3769386.00,2416667.00,93,1053806.95,no
2009,PIT,48693000.00,1872808.00,1062500.00,62,785370.97,no
2009,SDP,43734200.00,1561936.00,466200.00,75,583122.67,no
2009,SEA,98904166.00,3532292.00,661250.00,88,1123910.98,no
2009,SFG,80126450.00,2967646.00,475000.00,85,942664.12,no
2009,STL,84815909.00,3392636.00,950000.00,91,932042.96,no
2009,TBR,63313034.00,2183208.00,1290000.00,84,753726.60,no
2009,TEX,67623798.00,2415136.00,575000.00,87,777285.03,no
2009,TOR,80538300.00,2876368.00,932500.00,75,1073844.00,no
2009,WAS,60328000.00,2080276.00,500000.00,59,1022508.47,no
2008,ARI,65386212.00,2514854.00,752500.00,82,797392.83,no
